用户id	用户注册时间	最后登录时间	免费筹码	身上货币量	最高拥有	最大赢取	贡献台费	登录总次数	站内好友数	经验值	等级	积分	性别	互动道具	玩过的最大小盲	破产线	IP地址	玩牌局数	赢牌局数	输牌局数	正常牌局	非正常牌局	最高牌类型
7795915	2014/10/8	2014/10/8	188	1000	1220	20	0	2	3	36	2	0	0	0	10	40	14.150.214.93	3	1	2	1	0	4
7795912	2014/10/8	2014/10/8	152364	800	1740	600	0	2	2	83	3	0	0	0	10	40	111.160.113.86	8	1	7	6	0	7
7795909	2014/10/8	2014/10/10	0	800	null	null	0	3	0	0	0	5	1	0	0	20	183.190.129.235	null	null	0	0	0	0
7795906	2014/10/8	2014/10/8	0	0	null	null	0	1	0	0	0	0	0	0	0	20	60.10.97.178	null	null	0	0	0	0
7795900	2014/10/8	2014/10/8	0	800	null	null	0	2	3	0	0	0	0	0	0	20	110.179.123.20	null	null	0	0	0	0
7795898	2014/10/8	2014/10/8	0	760	null	null	0	2	1	10	2	0	0	0	0	20	119.127.44.95	null	null	0	0	0	0
7795886	2014/10/8	2014/10/8	0	0	null	null	0	1	0	0	0	0	0	0	0	20	49.119.59.168	null	null	0	0	0	0
7795881	2014/10/8	2014/10/9	15223	150	6310	1240	980	3	1	534	6	5	0	10	250	1000	116.20.50.99	75	24	24	50	0	4
7795877	2014/10/8	2014/10/8	56082	100	null	600	0	2	0	122	3	0	0	0	10	40	182.245.251.24	15	3	0	15	0	0
7795876	2014/10/8	2014/10/8	218238	18374	null	4610	0	2	0	220	4	0	0	0	10	40	119.128.125.121	23	12	0	23	0	0
7795874	2014/10/8	2014/10/9	1000	1800	null	null	0	3	1	10	2	5	0	0	2500	1000	42.48.115.15	null	null	0	0	0	0
7795862	2014/10/8	2014/10/8	0	50	null	null	0	2	1	28	2	0	0	0	10	40	27.155.135.150	6	null	0	6	0	0
7795859	2014/10/8	2014/10/9	13404659	30258	51540	9995	1200	3	1	479	6	5	0	10	100	1000	202.101.230.153	109	25	50	108	0	7
7795857	2014/10/8	2014/10/8	14148	830	null	290	0	2	0	91	3	0	0	0	10	40	125.84.204.83	10	2	0	11	0	0
7795853	2014/10/8	2014/10/8	0	780	null	null	0	2	0	3	1	0	1	0	0	20	42.203.239.138	2	null	0	2	0	0
7795852	2014/10/8	2014/10/8	0	800	null	null	0	2	1	3	1	0	0	0	0	20	171.107.198.106	1	null	0	2	0	0
7795847	2014/10/8	2014/10/9	7058	100	1940	800	20	3	4	456	5	5	0	0	50	1000	14.150.178.237	80	28	31	79	1	8
7795825	2014/10/8	2014/10/8	0	970	null	null	0	2	0	8	2	0	1	0	10	40	119.34.121.74	2	null	0	2	0	0
7795823	2014/10/8	2014/10/9	2047	7920	1000	1380	0	3	2	195	4	5	0	0	10	40	123.15.52.82	14	3	2	17	0	3
7795821	2014/10/8	2014/10/8	477	1190	null	20	0	2	3	64	3	0	0	0	10	40	220.174.91.143	7	5	0	7	0	0
7795817	2014/10/8	2014/10/8	0	1000	null	420	0	2	0	138	4	0	0	0	10	40	119.176.110.100	17	5	0	17	0	0
7795807	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	113.12.223.90	null	null	0	0	0	0
7795806	2014/10/8	2014/10/8	0	0	null	21580	3825	2	0	538	6	0	1	10	500	1000	106.32.35.84	50	14	0	50	1	0
7795805	2014/10/8	2014/10/8	0	770	null	null	0	2	1	13	2	0	0	0	0	20	14.214.85.5	2	null	0	2	0	0
7795799	2014/10/8	2014/10/9	60145	2730	1280	270	0	3	4	140	4	10	0	0	50000	1000	114.111.167.19	24	3	13	24	0	4
7795796	2014/10/8	2014/10/8	37376	530	2355	1010	0	2	0	88	3	0	0	0	10	40	112.241.63.44	12	5	4	13	0	4
7795794	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	0	0	0	20	222.138.97.156	null	null	0	0	0	0
7795790	2014/10/8	2014/10/8	20956	740	1210	260	0	2	1	68	3	0	0	0	10	40	112.81.182.157	8	1	6	8	0	3
7795786	2014/10/8	2014/10/8	0	800	null	null	0	2	2	0	0	0	0	0	0	20	124.72.52.198	null	null	0	0	0	0
7795776	2014/10/8	2014/10/9	0	0	184122	68000	28050	3	5	1255	8	5	0	0	1000	1000	220.173.237.103	352	136	216	269	0	8
7795777	2014/10/8	2014/10/8	0	0	null	240	0	2	0	77	3	0	0	0	10	40	113.98.123.226	9	3	0	9	0	0
7795775	2014/10/8	2014/10/8	0	100	null	null	0	2	0	25	2	0	0	0	10	40	123.125.212.17	5	null	0	5	0	0
7795773	2014/10/8	2014/10/9	0	0	9540	1330	0	3	1	376	5	5	0	0	350	1000	222.217.18.195	37	8	29	36	1	7
7795771	2014/10/8	2014/10/8	21630	200	null	400	0	2	1	118	3	0	0	0	10	40	223.64.236.138	15	5	0	15	0	0
7795766	2014/10/8	2014/10/8	68866	630	null	1560	0	2	2	101	3	0	0	0	10	40	58.59.140.9	13	3	0	13	0	0
7795763	2014/10/8	2014/10/8	0	800	null	null	0	2	0	3	1	0	1	0	0	20	183.220.37.111	1	null	0	2	0	0
7795758	2014/10/8	2014/10/8	0	800	null	null	0	2	3	0	0	0	1	0	0	20	111.182.162.13	null	null	0	0	0	0
7795747	2014/10/8	2014/10/8	0	980	null	null	0	2	1	18	2	0	0	0	10	40	117.151.90.202	2	null	0	2	0	0
7795741	2014/10/8	2014/10/8	0	150	null	null	60	2	10	41	2	0	1	0	50	1000	14.127.245.63	8	null	0	8	0	0
7795728	2014/10/8	2014/10/8	0	1160	null	null	0	2	0	13	2	0	1	0	10	40	123.120.135.43	1	null	0	2	0	0
7795727	2014/10/8	2014/10/8	0	1000	null	620	0	2	1	133	4	0	0	0	10	40	111.85.17.110	18	6	0	18	0	0
7795726	2014/10/8	2014/10/8	0	880	null	null	0	2	1	19	2	0	0	0	10	40	120.87.125.4	4	null	0	4	0	0
7795718	2014/10/8	2014/10/9	280700	1530	1660	600	0	3	2	91	3	5	0	0	10	40	222.82.246.6	10	2	6	10	0	7
7795714	2014/10/8	2014/10/8	45129607	1780	null	420	0	2	8	58	3	0	0	0	10	40	112.90.237.85	4	2	0	4	0	0
7795713	2014/10/8	2014/10/8	437322	780	null	400	0	2	0	81	3	0	0	0	10	40	183.202.73.132	8	3	0	8	0	0
7795709	2014/10/8	2014/10/8	4901981	18379	null	23800	480	2	11	260	4	1	1	0	50	1000	222.84.3.62	29	8	0	29	0	0
7795707	2014/10/8	2014/10/8	167	910	null	10	0	2	1	35	2	0	0	0	10	40	222.191.167.182	3	1	0	5	0	0
7795702	2014/10/8	2014/10/8	4270	880	null	600	0	2	3	117	3	0	0	0	10	40	27.41.1.82	12	5	0	12	0	0
7795697	2014/10/8	2014/10/8	0	960	null	null	0	2	1	5	2	0	1	0	10	40	115.217.136.8	1	null	0	1	0	0
7795695	2014/10/8	2014/10/8	0	1000	null	null	0	2	0	11	2	0	1	0	10	40	117.178.56.157	2	null	0	4	0	0
7795694	2014/10/8	2014/10/8	0	800	null	null	0	2	1	0	0	0	1	0	0	20	106.57.51.131	null	null	0	0	0	0
7795692	2014/10/8	2014/10/8	0	0	null	null	0	2	1	50	3	0	1	0	10	40	27.158.206.13	6	null	0	7	0	0
7795691	2014/10/8	2014/10/8	0	800	null	null	0	2	2	0	0	0	1	0	0	20	175.5.40.40	null	null	0	0	0	0
7795690	2014/10/8	2014/10/8	0	980	null	null	0	2	1	8	2	0	1	0	10	40	183.45.110.159	2	null	0	2	0	0
7795687	2014/10/8	2014/10/8	863	1290	null	80	0	2	0	51	3	0	1	0	10	40	123.165.239.39	5	1	0	6	0	0
7795685	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	0	0	0	20	120.10.35.77	null	null	0	0	0	0
7795681	2014/10/8	2014/10/8	0	800	null	null	0	2	0	0	0	0	1	0	0	20	139.209.202.88	null	null	0	0	0	0
7795680	2014/10/8	2014/10/8	0	990	null	null	0	2	0	8	2	0	1	0	10	40	120.194.42.194	1	null	0	2	0	0
7795679	2014/10/8	2014/10/8	0	980	null	null	0	2	1	5	2	0	1	0	10	40	125.71.55.182	1	null	0	1	0	0
7795677	2014/10/8	2014/10/8	5546	1520	null	260	0	2	2	62	3	0	0	0	10	40	171.214.183.117	6	5	0	6	0	0
7795676	2014/10/8	2014/10/8	2404	2260	null	380	0	2	0	53	3	0	0	0	10	40	182.32.10.239	4	1	0	5	0	0
7795675	2014/10/8	2014/10/9	1484719	7960	7470	3520	0	3	0	353	5	5	0	0	10	40	163.204.2.71	53	16	21	53	0	8
7795674	2014/10/8	2014/10/8	0	780	null	null	0	2	0	24	2	0	0	0	10	40	1.204.97.16	4	null	0	4	0	0
7795672	2014/10/8	2014/10/8	0	800	null	null	0	2	1	34	2	0	0	0	10	40	59.58.232.175	3	null	0	4	0	0
7795670	2014/10/8	2014/10/8	0	800	null	null	0	2	2	0	0	0	1	0	0	20	123.118.196.87	null	null	0	0	0	0
7795669	2014/10/8	2014/10/8	0	800	null	null	0	2	1	13	2	0	1	0	0	20	106.92.158.15	1	null	0	2	0	0
